obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('42',)",3773073029,14,3.533370018,3779218472,3779218544,3773073029,0,internal_timestamp,64.60900116,1564084229,33.7533989,0,8.282500267,1026.551345,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('43',)",3773073029,14,3.533380032,3779218472,3779218544,3773073029,0,internal_timestamp,64.61100006,1564084229,33.75350189,0,8.282400131,1026.55145,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('44',)",3773073029,14,3.533380032,3779218472,3779218544,3773073029,0,internal_timestamp,64.61199951,1564084229,33.75360107,0,8.282400131,1026.551533,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('45',)",3773073029,14,3.533390045,3779218472,3779218544,3773073029,0,internal_timestamp,64.60800171,1564084229,33.75370026,0,8.282400131,1026.551592,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('46',)",3773073030,14,3.533390045,3779218472,3779218544,3773073030,0,internal_timestamp,64.61199951,1564084230,33.75370026,0,8.282400131,1026.55161,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('47',)",3773073030,14,3.533380032,3779218472,3779218544,3773073030,0,internal_timestamp,64.61199951,1564084230,33.75360107,0,8.282400131,1026.551533,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('48',)",3773073030,14,3.533360004,3779218472,3779218544,3773073030,0,internal_timestamp,64.61199951,1564084230,33.7533989,0,8.282400131,1026.551374,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('49',)",3773073030,14,3.533349991,3779218472,3779218544,3773073030,0,internal_timestamp,64.61499786,1564084230,33.7533989,0,8.282299995,1026.551403,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('50',)",3773073030,14,3.533349991,3779218472,3779218544,3773073030,0,internal_timestamp,64.61599731,1564084230,33.7533989,0,8.28219986,1026.551423,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('51',)",3773073030,14,3.533360004,3779218472,3779218544,3773073030,0,internal_timestamp,64.61299896,1564084230,33.75360107,0,8.282099724,1026.551583,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
